Partname-S,Partname,Position,max_P,min_P,width,max_W,min_W
ECASD40J686M015L00+C001/L801,ECASD40J686M015L00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD40K476M025K00+C001/K803,ECASD40K476M025K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A106M055K00+C001/K803,ECASD41A106M055K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A107M040KA0+C001/K803,ECASD41A107M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A107M040KH0+C001/K803,ECASD41A107M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A107M040KH0+C009/K803,ECASD41A107M040KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A226M028K00+C001/K803,ECASD41A226M028K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A226M028K02+C001/K803,ECASD41A226M028K02+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A336M025K00+C001/K803,ECASD41A336M025K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A476M025K00+C001/K803,ECASD41A476M025K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A476M025K00+C005/K803,ECASD41A476M025K00+C005,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41A476M025K00+C007/K803,ECASD41A476M025K00+C007,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41B106M055K00+C001/K803,ECASD41B106M055K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41B156M045K00+C001/K803,ECASD41B156M045K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41B226M030K00+C001/K803,ECASD41B226M030K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41B336M025K00+C001/K803,ECASD41B336M025K00+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C106M060K00+C001/K803,ECASD41C106M060K00+C001,4.85,4.9,4.8,0.75,0.85,0.65
ECASD41C106M060K00+C005/K803,ECASD41C106M060K00+C005,4.85,4.9,4.8,0.75,0.85,0.65
ECASD41C156M040K00+C001/K803,ECASD41C156M040K00+C001,4.85,4.9,4.8,0.75,0.85,0.65
ECASD41C336M040KA0+C001/K803,ECASD41C336M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C336M040KA0+C008/K803,ECASD41C336M040KA0+C008,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C476M040KA0+C001/K803,ECASD41C476M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C476M040KA0+C008/K803,ECASD41C476M040KA0+C008,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C476M040KH0+C001/K803,ECASD41C476M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C476M040KH0+C009/K803,ECASD41C476M040KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C476U020K01+C001/K803,ECASD41C476U020K01+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C685M070K00+C001/K803,ECASD41C685M070K00+C001,4.85,4.9,4.8,0.75,0.85,0.65
ECASD41C686M040KA0+C001/K803,ECASD41C686M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C686M040KH0+C001/K803,ECASD41C686M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C686M040KT0+C009/K803,ECASD41C686M040KT0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41C686M040LA0+C001/L801,ECASD41C686M040LA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41D476M040KA0+C001/K803,ECASD41D476M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41D476M040KH0+C001/K803,ECASD41D476M040KH0+C001,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41D476M040KH0+C009/K803,ECASD41D476M040KH0+C009,4.9,4.95,4.85,0.75,0.85,0.65
ECASD41E106M040KA0+C001/K803,ECASD41E106M040KA0+C001,4.9,4.95,4.85,0.75,0.85,0.65
